No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,ALE
NA,NA,NA,NA,NA,11.1,76.9
30.8,83.5,29.1,33.3,26,13.2,77
26.7,82.9,25.6,23.2,22.8,5.7,78.4
22.9,78.7,23.5,24.7,19.3,6.6,78.2
24.1,82.8,25.7,25.8,23.3,3.7,79.3
NA,88.9,NA,NA,NA,13.3,79.3
27.8,79.8,24.5,30.5,28.3,5.1,77
NA,87.3,NA,NA,21.4,8.7,78.4
21.6,85.4,20.3,21.1,21.2,7.5,78.5
NA,NA,NA,NA,20.3,1.7,79.2
21.3,82.8,22.8,21.8,24,6.5,77.9
26.3,82.5,26.8,28,28,8.3,76.1
23.5,79.4,26,33.8,23,7.3,78.5
NA,NA,NA,NA,11.4,8.1,77.8
26,80.3,23.2,24.8,25.8,6.2,77.3
28,81.2,23.8,26.1,22,4.9,78.5
20.1,81.3,20.5,23.7,23.7,6.9,77.3
22.9,78.7,26,29,15.4,2.7,78.9
21.5,83.5,17.6,16.5,15.8,4.3,81.3
14.8,79.9,17.2,15.5,16.2,4.5,81
22.8,80.1,25.6,23.9,23.3,5.2,78.5
29,85.8,27.3,26.2,26.2,10.6,77.8
23.8,78.2,28,28.1,24.9,7.9,77.7
NA,NA,NA,13.3,NA,10.6,78
27.6,79.8,24.8,27.2,23.9,6.2,77.1
19,74.9,20.2,22,19.2,3.6,79.8
21.1,81.7,26,26.8,20.4,6.1,78.8
22.4,82.7,25.3,23.4,21.8,4.2,79.6
NA,NA,NA,NA,NA,12,76.9
28.2,83,26,31.5,24.4,9.8,77.5
18.2,76.4,25.6,23.8,15.7,7.7,78.9
29.3,78.3,19.5,19.2,13.4,4.6,80.8
26.1,82.9,23,23.9,28.6,4.6,77.3
25.1,NA,23.7,22.9,17.7,8.1,77.8
29,81.2,19.3,25.2,25.7,6.4,78.6
32.1,81.5,29.7,24.1,22.3,4.6,77.9
25,81.6,28,25.9,22.9,6.1,77.7
NA,NA,NA,NA,15.6,11.3,74
21.2,75,25.1,29.8,20.6,10.9,78.5
21.2,81.2,20.7,29.1,11.6,4.6,79.3
22,81.7,21.2,31.7,19.5,4.3,79.2
25.7,83.5,20.9,23.2,17.7,6.2,79.1
24.3,75.3,23.3,28,20.4,8.4,77.7
26.3,75.6,25.2,26.4,23.5,7.1,77.9
21.5,82.2,24.4,23.5,21.1,6.1,77.8
24.3,79.5,21.3,27.2,13.8,5.7,78.2
29.6,85.9,26.9,22.8,23.2,6.1,78.7
28.3,85.8,24.8,30.9,24.8,9.5,78
NA,NA,NA,23.9,NA,12.7,77.8
NA,84.8,30.9,NA,NA,10.1,73.9
18.4,83.8,23.4,28.2,19.2,5.3,79.4
23,76.9,26,25.6,18.4,5.4,78.1
21.9,79.8,26.6,31.8,25.6,10.4,77.9
29.1,NA,28.7,29.5,21.3,5.6,78.9
23.4,76.6,18.8,22.5,15.6,6,78.7
NA,NA,NA,NA,NA,8.9,78
34.9,NA,27.7,28,23.2,7.8,77.8
23,80.2,22.7,29.3,19.9,5.8,78.9
28.3,78,24.8,28.5,18.3,7,78.6
19.7,74.2,25,24.3,19.9,6.4,79.4
23.1,78.1,16.7,18.7,27.4,2.9,78.1
34.8,82.1,27.5,36.8,31.6,7.2,73.9
19.4,79.5,25.1,24.4,16.3,6.1,78.9
20.9,NA,31,NA,21.4,12.5,78.4
33,85.5,22.8,23,26.6,6.3,78.7
29.4,72.4,31.6,27.3,21.1,7.9,79.2
25.5,80.8,20.7,20.4,16.5,6,78.4
32.4,85.2,32.5,33.7,24,6.3,76.4
31.9,87.7,NA,NA,NA,8.1,79.1
NA,82.4,22.3,22.9,15,7.8,79.3
21.4,89.1,25.5,22.5,14,2.8,79.1
31.8,80.3,26.7,27.5,23.4,11,78.6
37.3,83.2,25.3,29.7,24.7,8,78
30.8,76.2,26.6,27.2,25.1,6.6,73.5
22.3,81.7,21.9,26.1,22.1,9.1,78.9
26.4,81.4,27.5,27.7,22.8,8.4,78.4
33.4,79.8,30.8,31.2,28.3,8.8,77.5
27.6,76.8,31,25,18.4,8.4,78.9
NA,84,18.1,NA,11.6,5.1,78.7
NA,NA,21.5,NA,13.7,6.8,79.2
NA,NA,NA,19.4,22.2,2,78.2
31.9,76.6,28.7,25.1,21.3,8.2,79.4
24.4,81.2,23.4,24.2,18,8.8,79
25.4,85,28.7,24.8,21.9,8.1,78.9
NA,NA,19.3,NA,17.1,5.7,79.1
NA,NA,NA,NA,NA,8.1,74.7
33.5,74.6,24.2,NA,23.6,8.4,76.1
NA,NA,NA,NA,NA,14.5,77.9
21.5,78.8,20.8,24.2,21.6,5.8,77
NA,NA,13.8,NA,NA,3.1,77.4
29.5,82.6,25.4,NA,27.3,6.5,76.7
NA,NA,NA,NA,NA,10.5,77.9
27.2,79.4,24.4,18.5,19.6,7,78
24.6,77.8,23.4,30.2,13.5,6.1,79
25.7,75.6,20.8,NA,18.2,3.5,78.4
32.3,74.5,28.8,NA,17,5.8,77.8
NA,NA,NA,NA,14.5,9.6,77.8
31.9,NA,21.2,24.8,24.2,7.6,76.4
25.2,76.1,27.3,21.5,21.6,6.9,76.9
25.5,82.4,16.7,NA,18.5,3.6,78.4
30.5,80.8,28,29.3,27.1,9.1,75.6
28.8,NA,20,NA,17.9,9.2,78.4
NA,NA,NA,NA,NA,2.2,76.6
31.4,79,21.9,NA,11.4,3.9,77.3
32.7,81.9,24.7,28.9,19.2,9.4,76.4
NA,NA,NA,NA,NA,10.3,78.2
NA,90.3,15.3,NA,NA,7.5,78.3
29.9,81.2,30.6,NA,26.4,8,77.6
31.9,82.1,24.9,NA,26.7,9.4,77
NA,NA,17.6,NA,19.2,11,78.4
40,NA,24.6,NA,14.5,4.4,77.4
29.7,NA,26.8,NA,18.2,12.4,77.3
24.4,NA,NA,NA,19.4,7.8,78.4
22.9,73.2,19.5,19.3,19.3,5,77.8
26,83.2,22.5,NA,23.1,11.1,78.2
NA,NA,NA,NA,NA,NA,78.1
25,79.6,25.2,24.1,22.7,6.4,77.6
25.7,NA,14.6,NA,12.9,8.3,78.7
27.3,89.7,24.2,NA,16.5,5.2,77.3
22.8,81.3,25.7,21.1,21.7,6.7,77.7
14.3,77.9,14.7,15.7,16.1,3.3,79.8
27.4,NA,17.4,NA,22.8,9,78.3
NA,NA,NA,NA,NA,12.8,78.2
33.4,81.2,22.4,NA,21.3,7.9,77.4
23,75.8,21.7,21.5,23.9,4.9,77.2
NA,NA,24.7,NA,11.5,5.3,77.9
24.6,79.9,24.5,24,22.9,6.8,76.6
30.7,83.3,21.2,23.2,20.2,7,77.8
25.5,80.9,26,24,19.6,6.7,75.9
NA,NA,NA,NA,NA,4.3,78.3
NA,NA,NA,NA,NA,6.1,78.4
29.3,NA,NA,NA,NA,8.8,78.1
21.7,NA,NA,NA,7.5,7.7,78.4
22.9,NA,17.3,NA,16.2,10.3,77.3
NA,NA,NA,NA,NA,NA,76.6
25.5,NA,11.2,NA,19.1,7,76.6
26.4,78.1,29.7,27.3,19.5,8.6,76.2
27.7,93.7,15.2,NA,18.6,3.8,78.1
NA,NA,NA,NA,13,7.2,77.9
30.2,NA,23.8,NA,16.2,5.1,77.6
NA,NA,NA,NA,NA,NA,77.9
NA,NA,NA,NA,NA,14.9,75.6
33.1,NA,27.8,NA,26.6,8.2,76.4
27.9,NA,22,NA,16,6.1,78.7
NA,NA,NA,NA,NA,9.6,77.9
33.3,NA,31.2,NA,19.8,11,75.6
NA,NA,NA,NA,NA,8.8,76.4
37.3,83.1,27.4,26.5,28.2,7.7,73.2
31.5,86.3,25.9,NA,23.7,7.6,75.3
NA,NA,NA,NA,12.9,10.4,78.1
NA,NA,NA,NA,NA,7.9,78.2
29.9,NA,29,NA,19.1,6.7,77.3
25.3,83.7,20.7,NA,19.6,9.5,78.7
16.2,82.9,23.8,NA,17,6.7,76.7
NA,NA,NA,NA,NA,NA,78.2
32.8,82.6,29.2,30.4,23.4,8.4,75.6
23.8,81.2,23.6,24.1,24.8,7,75.9
NA,NA,NA,NA,NA,4.5,78.3
35.3,NA,25.5,NA,21.4,10.7,76.7
29.2,78.4,27,28.9,23.8,5.8,77.3
31.9,NA,29.6,NA,21.7,9.1,77
19.3,79.6,17,14.9,19.2,3.6,79.3
NA,NA,NA,NA,13.1,8.9,78.2
NA,NA,NA,NA,NA,9.8,75.6
21.3,81.2,17.2,15.4,20.1,5,78.9
22.5,NA,21.7,NA,12.2,4.9,77.4
36.3,84,23.1,25.1,20.8,5.5,77.5
27.9,83,24.9,23,18.2,5.9,76.4
28.4,82.1,27.2,35,23.5,5.5,76.1
28.8,81.6,25.4,NA,21.6,9.3,77
17.6,80.8,16.7,20.7,24.8,6.5,74.3
NA,NA,NA,NA,NA,1,77.9
NA,NA,NA,NA,NA,8.4,78.3
NA,NA,27.3,NA,26.9,8.2,76.6
24.5,NA,NA,NA,18.6,4.5,77.8
NA,NA,NA,NA,NA,NA,77.9
36.2,82.4,30.8,NA,20.1,11.9,75.6
NA,NA,NA,NA,NA,NA,76.6
NA,NA,24.9,NA,21.7,11.1,77.4
25,82.4,24.7,27.2,12.8,7.9,78.8
NA,NA,14.6,NA,18,3.4,77.4
NA,NA,NA,NA,15.7,5.6,76.6
NA,NA,NA,NA,NA,NA,78.2
31,82.3,26.9,NA,26.4,8.9,77.3
26.3,83.5,25.1,21.9,22.6,6.1,77
NA,NA,NA,NA,12.6,9.5,78.4
16.7,79.4,17.4,18.9,16.6,4.8,80.3
NA,NA,NA,NA,NA,9,76.6
26.9,86.8,30.9,NA,18.6,9.3,77.4
NA,NA,NA,NA,10.4,4.3,78.2
34.2,88.9,27.9,32.4,25.5,6.9,75.5
26.5,80.8,27,31.4,22.9,8.2,77.9
NA,NA,NA,NA,NA,NA,76.9
31.3,79.6,22.3,28.4,32.6,5.8,75.7
NA,89.5,NA,NA,NA,8.3,75
NA,NA,NA,NA,25.4,8.6,74.7
32.7,83.4,30.5,29.7,30.6,8,75.4
43.9,87.6,35.8,NA,41.6,6.9,73.6
NA,NA,NA,NA,NA,NA,76.9
26.8,81,25.5,26.4,26.7,7.6,75.3
25.4,72.6,22.6,NA,29.2,5.9,76.1
42.1,84.5,33.9,31.8,32.6,11.6,73.6
24,79.9,23.6,27.8,32.7,7.3,76.1
45.3,77.8,25.5,33.9,34.8,9.4,72.8
34.6,87.2,26.8,36.7,34.3,7,75
41.2,88.2,26.4,37.3,31.3,7.6,73.9
32.5,75.4,28.6,NA,26.1,8.1,77
39.7,82.3,24.7,33.3,32.3,10.9,75.1
40.8,85.7,27.3,33.8,35.9,8.1,72.2
43.6,84.6,31,NA,38.7,14.6,73.7
42.3,82.5,33.4,NA,36.2,10.2,72.7
42.4,81.4,33.6,38.9,31.4,11.9,72.5
41,81.8,26.8,35.4,40.3,7.6,75.4
34.5,80.3,29.5,NA,31.7,7.2,74.8
35.2,82.8,27.6,NA,NA,6.7,75.1
41.3,80.3,32.4,23.9,36.1,11.5,73.1
33.1,78.1,26.3,26.9,38.9,4.7,75.5
33,NA,29.7,NA,19.5,13.5,75.1
33.8,79.2,25.7,34.5,25.9,9.6,75.4
49.4,80.7,34.3,NA,46.2,10.4,73.4
41,83.1,38.7,NA,27.6,9.8,74.9
28.7,82,23.6,25.9,28.9,4.7,76.1
41.7,87.8,33.3,NA,34,10.8,73.8
38.8,82.8,23.1,NA,33.9,7,75.8
26.4,74.6,22.6,31.9,26.1,6.4,76.8
NA,90.2,NA,NA,31.9,7.5,72.2
21.9,81.3,25,25.1,21,5.2,77
37.5,79.4,21.1,31.6,30.1,7.6,74.2
28.1,77.8,22.3,28.4,36.7,7.5,75.3
39.5,87.2,25.1,31.4,37.5,10.8,72.6
NA,82,27.9,NA,NA,8.4,76.1
36.4,84.1,25,NA,NA,8.5,74
44.6,87.2,25.4,18.4,NA,9.6,74.6
38.3,82.9,30.1,30.3,32.4,9.8,75
39,82.3,26.1,31.9,31.4,11.5,73.8
36.5,81.9,32.9,27.7,27.8,9.3,74.9
30,82.6,26,27,30.1,6.2,75.4
NA,NA,NA,NA,NA,8,75
NA,NA,NA,NA,NA,NA,75.3
35.7,82.5,26.4,31.6,40.8,8.5,74.6
21.8,79.2,19.2,NA,23.7,4.2,77.4
37.9,NA,22.4,NA,NA,5.9,75
33,93.4,25.5,NA,NA,10.4,73.6
NA,NA,NA,NA,NA,10.2,74.2
41,79.7,32.6,34.6,33.8,10.7,72.4
42.6,83.9,28.5,35,34.2,11.4,72.3
NA,NA,NA,NA,NA,NA,72.6
32.3,80.7,24.1,32,30.1,8.9,75.2
37.6,79.9,27.2,35.9,29,9.6,74.3
38.8,77.4,27.3,38.5,32,8.5,75.4
NA,84.3,21.9,NA,30.4,6.6,75.3
41.6,76.9,31.9,24.6,29.2,11.8,73.6
29.7,79.5,25.1,25.7,27,6.5,75.4
42.4,85.2,27.5,30.5,29.6,7.4,75.4
26.9,83.6,22.2,NA,28.1,5.4,75.9
28.9,80.7,NA,NA,29.8,3.3,76.2
31.2,70.6,19.3,NA,30.3,6.5,75.5
NA,NA,NA,NA,NA,3.3,75.4
37.3,80,18.8,33.2,32.4,6.8,75.4
45,85.7,29.2,NA,30.4,5.3,74.9
25.8,80.2,21.7,NA,21,5.7,75.3
34,81.7,24,NA,32.9,7,75.1
NA,NA,NA,NA,NA,NA,73.8
35.5,NA,31.5,NA,31,10.1,74.5
28,75,22.6,23.5,27.1,7.7,75.9
NA,84.3,24.3,NA,NA,10.6,75.8
NA,NA,NA,NA,NA,NA,76.9
36.4,83.1,28.3,31.4,33.3,8.6,73.4
32.1,82,31.6,19.7,24.6,6.6,74.9
39.8,79.2,30.6,41.5,35.6,11,73.1
50,84.1,23,NA,33,8.7,72.6
19.6,NA,18.5,NA,18.7,8.6,76.2
39.8,77.6,25.1,28.2,40.4,8.1,74.2
36.6,81.6,29.2,30.6,33.2,7.7,72.8
36.9,77.9,21.9,27.2,37.9,7.4,76.1
30,77.9,25.6,NA,30.5,9.9,76.3
NA,NA,NA,NA,NA,NA,76.9
34.5,84.3,33.3,NA,36.8,8.1,74.6
33.4,80.7,17.9,NA,32.3,5.6,75.1
26.4,78.6,18.1,28.4,27.9,6.5,76.9
27.8,85.6,23.9,22,25.6,6.9,75.8
NA,84.8,NA,NA,NA,10.2,74.7
NA,NA,NA,NA,NA,NA,76.9
39,83.1,32,NA,32.5,8.8,74.6
NA,89.2,NA,NA,NA,5.2,73.8
37.7,87.4,31,30.9,35.5,9,73.6
38.2,81.8,24.8,NA,23.3,13.3,74.8
31.2,76,24.4,31.7,34.2,9.6,74.7
40.5,82.1,23.5,NA,36.7,7.9,75.5
NA,NA,NA,NA,NA,NA,76.9
45.8,83.2,30.8,NA,37,11.6,72.7
26.7,81,22.5,NA,24.7,7.2,74
39,83.9,31.3,NA,29.9,7.2,74.5
NA,NA,26.4,NA,25.9,3.2,74
30.1,78.5,22.6,28.9,29.8,7.5,76
23.7,84.3,25.9,NA,NA,3.3,76.2
34.4,NA,NA,NA,NA,6.9,75.2
42.8,83.7,34.7,NA,40.9,7.3,73.8
NA,NA,NA,NA,NA,NA,76.9
NA,NA,NA,NA,NA,13.6,73.7
23.8,75.9,20.8,22.3,23,5.9,76.3
37.1,83.7,28.3,28.1,32.2,7.2,75.3
NA,NA,NA,NA,NA,NA,76.9
NA,NA,NA,NA,NA,NA,76.9
45,82.6,31.3,40.2,32.4,11.3,73
27.8,76.9,23.4,25.9,24,7.5,75.9
NA,83.1,NA,NA,NA,11.9,74.7
NA,NA,NA,NA,NA,5,73.8
NA,NA,NA,NA,NA,2.1,76.1
31.1,81.8,24,NA,32.4,8.9,74.7
NA,NA,NA,NA,NA,NA,76.9
38.9,83,26.2,NA,37.1,12.5,74.2
33.1,78.8,25.1,30.5,32.6,8.5,75.3
35.7,77.1,23.4,38.4,37.9,13.2,74.1
NA,NA,NA,NA,NA,NA,76.9
37.3,80.6,31.8,NA,31.1,9.5,77
NA,NA,NA,NA,NA,NA,76.9
37.1,82.6,29.5,37.7,27.9,10.9,75.2
28.9,NA,21.5,NA,21.7,8.6,76.1
28.6,78.7,24.6,28.2,29.9,7.8,76.1
45.7,84.7,30,31,35.7,11,72
NA,85.9,NA,NA,NA,3.1,75
36.6,83.9,18.7,26.8,35.7,6.4,75.2
34.3,78.5,25.5,29.8,30.1,7.5,76.3
NA,NA,NA,NA,NA,NA,76.9
NA,NA,NA,NA,NA,NA,76.9
34.1,80.1,30.7,33.5,27.6,8.2,73.8
23.2,81.8,22.7,22.7,24.2,7,76.2
33.1,84.3,28.5,24.7,24,7.8,72.9
NA,NA,NA,NA,15.1,4.9,73.5
36.5,89,27.8,28.7,28.4,8.4,74.6
33.2,84.4,32.8,29.1,19.7,8.3,73.8
35.4,83.5,25.5,27.1,23.2,11,75.6
27.3,79.2,23,23.9,32.1,5.1,74.3
45.8,85.6,29.8,37.8,28.6,16.8,71.6
32.9,89.4,27.5,29.2,25.4,6.6,73.8
35.5,79.9,26.2,35,25.8,10.1,74.3
27.8,NA,28.7,NA,23.5,12.2,74.9
42,86.3,33,NA,NA,8.4,73
NA,NA,NA,NA,10.8,14.6,73.9
35.8,82.7,30.4,NA,23.9,13.5,73.4
44.1,84.8,29.9,NA,27.4,10.3,73.1
28.9,82.7,21.5,28.9,27.8,7.6,75.6
31.5,81,27,32.1,21.9,7.7,74.1
32.1,79.4,26.4,27,25.5,7.2,74.3
38.9,87.9,27.8,27.6,26.1,8.2,73.4
NA,NA,NA,NA,NA,NA,76.9
NA,NA,NA,NA,NA,4,72.5
NA,NA,NA,NA,16.8,7.5,74.3
NA,NA,31.5,NA,25.1,12.7,73.5
39.6,74,31.7,NA,21.6,7.4,73.8
42.4,91,29.7,NA,20.9,9.2,73.5
39.4,85.8,31.1,32,23,8,72.6
NA,NA,NA,NA,NA,NA,NA
27.7,82.5,22.8,27.2,20.4,6.1,74.9
NA,NA,NA,NA,NA,4.9,73
30.2,NA,30,NA,21.8,10.9,73.9
41.9,86.7,24.8,34.8,27.5,7.4,73.2
38.6,NA,32.2,NA,22.6,10.5,74.8
NA,NA,NA,NA,NA,NA,76.9
41.6,87.6,32.3,36.8,30.1,8.9,71.6
39.6,89.6,31.6,NA,34.3,7.7,74.1
32.7,85.4,27.6,31.8,25.1,11.2,74.8
42.4,83.6,30,NA,22.1,7.4,73.2
39.3,81.8,22.3,NA,29.4,11.5,73.4
30.5,82.2,24.8,28.1,21.1,7.4,75.1
38.1,86.9,33.1,33.9,28.4,5.6,73.5
25.6,82.3,21.8,24.4,23.4,7,75.7
38.1,84.8,28,32.9,26.3,9.2,75.6
39.9,87.5,25.9,NA,18.7,5.9,74.1
28.6,81.1,20.3,22.7,25.2,8.7,75
24.1,83.6,25.2,24.9,19.5,5.8,76.7
NA,NA,NA,NA,NA,NA,76.9
32.9,82.7,25.1,30,31.1,7.7,74.7
NA,90.8,NA,NA,NA,8.7,71.6
47.7,80.4,34,30.2,28,7,72.8
34.8,82.7,28,28.1,21,8.9,73.7
NA,NA,NA,NA,NA,NA,76.9
32.1,80,25.6,29.6,21.5,9.1,71.8
35.7,83.2,25.8,24,25.6,6.5,74.2
34.1,88.7,33.7,29.9,22.8,7.4,74
40.2,84.2,28.1,NA,28,7.2,73.9
33.2,84.8,24.5,30.5,26.3,7.8,73.6
39.4,81.4,26.6,NA,26.4,13.4,74.6
NA,NA,NA,NA,NA,NA,76.9
NA,NA,NA,NA,NA,7.8,73.1
NA,NA,NA,NA,NA,NA,NA
32.6,80.3,30.7,NA,30.4,10,72.5
31.9,89.2,25.2,37,27.1,11.7,73.9
38.6,80.8,29.6,27,27.7,7.7,73.5
28.3,81.7,32.6,26.7,21.2,9.3,75.6
NA,NA,NA,NA,NA,NA,76.9
NA,NA,21,NA,NA,12.4,73.9
36.7,87.8,25.4,NA,21.3,11.4,75.6
34.9,78.7,24.6,34.2,23.5,10,74.3
38.4,87.4,24.6,29.7,28.2,9.6,74
40.6,83.3,32.6,28.1,27.2,8.3,74.8
41.1,90.3,24.7,31.7,27.4,6.1,73.5
22.8,76,24.7,23.4,21.9,7.1,77.2
20.7,68.9,21,21,19.3,6.8,78.1
20,67.8,16.8,27.7,17.2,4.3,78.3
26.3,71.9,23,24.3,27,7.4,76.9
23.7,76.9,22.6,23.5,24.5,8.5,76.6
25.8,75.2,24.6,25.1,24.7,6.7,77.2
24,71.1,24.2,23.4,28.1,7.2,76.5
19.4,74.8,19.9,23.1,18.8,5.6,78.8
30.7,76.7,23.2,29.8,26.5,9.8,76.5
23.7,73.4,25.9,24.2,22.4,7,77.3
32.9,72.5,25,32.4,27.5,6.6,75.6
22.3,71.4,20.7,24.2,21.8,6.9,78.2
30.4,74.3,25.4,24.6,24.3,10,77
17,68.6,16.6,20.3,18.9,5.6,78.3
18.6,68.9,22,24.6,20.1,9.3,77.7
21.3,68.5,17.7,25.1,22.5,5.8,77.4
34.1,78.7,27.3,32.6,26.6,8.8,74
20.6,70.6,19.3,27.4,20.8,5.8,77.9
27,73.4,25.8,26,27.2,6.4,75.1
22.4,75.2,26.5,23.8,21.1,4.9,76.6
31.3,70.5,26.4,29,25.1,9.7,74.8
28.2,75.2,25.2,32.9,25.3,8.8,76.3
20.9,70.9,21.4,21.3,20,6,78.3
28.6,74.3,25.6,25.9,18.4,8.6,77.2
22.2,72.5,22.3,25.6,20.4,7.2,77.4
15.5,73.5,16.4,19.8,13.7,4.5,79.7
27.2,NA,23.1,30.6,19.9,10.4,77.4
18,66.8,15.3,22.4,11.9,5.2,81.3
24.6,72.1,25.5,26.2,17.8,8.3,75
25.1,74.1,21.9,30.1,19.4,6.7,77.4
21.8,73,25.6,25.1,21.1,6.1,76.7
41.2,NA,32.4,29.7,30.6,10.4,75.2
20.1,71.5,23.3,28.2,22.4,7.5,76.9
22.2,73.5,20,30.1,18,9,78.5
27.2,73,22.4,29.4,23.3,7.4,77.1
25,70.2,25,28.4,24,8.3,75.3
23,74.7,24.6,40.4,21.9,10.2,76.1
28.6,72.9,28,29.5,27.8,9.6,68.6
23.4,72,20.8,26.2,22.2,6.5,76.9
20.4,70.3,22.4,27.1,20.2,5.7,77.4
NA,NA,NA,NA,NA,NA,76.9
19.8,69.9,22.8,29.4,21.6,5.4,78.5
27.2,72.9,21.7,25.9,22,8.1,76.7
17.6,65,14.1,19.2,18.2,4.7,79
18.7,69.3,15.5,21.7,15.1,5.2,79.3
NA,NA,12.4,NA,NA,2.1,79.4
16,65.6,15,30.5,16.8,6.7,79.4
18.6,70.1,15.4,23.8,15.9,5,79.5
21.6,73,20.1,25.8,21.6,7.1,77.6
26.4,72.8,17.8,20.6,19.8,5.6,76.5
23.8,71.5,21.9,24.4,21,6.3,77.8
21.4,68.8,19.8,23.3,21.8,6.8,78.4
26.6,76.4,23.2,27.7,24,7,77.8
20.8,NA,9.9,NA,13.3,4.2,79.4
23.9,70.2,18.7,23.8,18.7,6.1,78.5
NA,NA,NA,NA,NA,NA,76.9
23.1,NA,NA,NA,NA,8.3,77.5
21,69.7,22,25.1,18,7.4,77.2
21.4,NA,32.9,NA,22.8,5.8,76.6
21.6,NA,24.6,NA,27.9,7.7,77
25.5,84.9,NA,19.1,21.8,8.4,77.2
17,73.7,23.1,22.3,20.7,8.7,78.8
NA,NA,NA,NA,NA,9.4,76.8
21.8,84,26,30.7,24.4,7.1,76.8
26.3,86.6,32.9,29.7,25.5,9.5,75.6
NA,NA,NA,NA,NA,7.7,75.8
NA,NA,NA,NA,NA,9,75.3
25.4,79.3,24.9,24.6,30.7,8.7,75.7
23.2,NA,24,NA,26.2,7.5,76.2
18.5,75.4,21.3,26.5,18.9,7,78.2
NA,NA,25,NA,NA,12.1,77
27.7,NA,29.8,NA,NA,9.3,75.3
NA,NA,NA,NA,NA,NA,76.9
NA,90.6,20.8,NA,NA,7.6,74.6
NA,NA,NA,NA,NA,3.9,77.1
24,NA,NA,NA,22.9,4.6,77.6
16.5,78,19.5,26.7,17.9,5.6,79.9
NA,NA,NA,NA,NA,NA,76.4
NA,NA,NA,NA,NA,NA,75.8
31.6,83.9,31.7,NA,23.2,13.1,75.8
25.7,81.3,31.8,30.2,21.9,9.5,76.5
20.9,79.4,25.2,30.8,31.1,7.3,76.5
26.6,77.8,35.9,26.7,27.5,12.5,75.8
27.7,84.6,28.6,NA,32.5,5,76
NA,NA,NA,NA,NA,NA,76.6
26.5,83.8,25.8,26.3,24.2,7.4,76.7
26.9,78.5,30.5,NA,22.8,5.2,76.2
25.7,79.5,23.8,26.5,23.3,6.4,76.6
20.1,81.4,23.4,30.1,25.6,9,76.8
16.4,69.7,20.3,19.6,14.8,5.4,78.5
27.9,78.4,29.2,30.3,26.3,9.8,73.4
25.8,NA,23.1,NA,27,6.1,75.8
23.3,80.9,27.1,32.6,19.9,9.2,77.5
18.2,NA,NA,NA,NA,10.3,80.2
NA,NA,NA,NA,NA,10.3,77.1
24,76.7,24.6,36,24.5,6,76.3
26.8,82.5,28.4,NA,30.8,6.7,76.8
25.6,76.7,27.8,32.5,30.6,10,74.8
24.5,85.1,23.7,NA,28,10.7,76.4
13.9,NA,25.2,NA,23.2,11.1,78.3
25.2,87.7,24,NA,NA,4.5,77.2
19.1,NA,22.3,NA,26.7,7.3,77.9
26.7,NA,NA,NA,29.3,10.9,74.5
21.7,78.5,25.8,26.5,19.2,7.8,78.7
NA,NA,NA,NA,NA,10.3,75.8
NA,NA,NA,NA,NA,NA,76.6
25.8,NA,30.3,NA,23.3,8.9,77.7
28.5,NA,20.7,NA,22,8.6,78
18.8,77.6,25.3,28.5,26.4,5.7,78.6
18.8,78.1,NA,17.3,NA,6.2,78.8
25,78.8,26.6,27.8,26.1,8.7,74.7
NA,NA,29.6,NA,NA,8.8,76.2
NA,NA,NA,NA,NA,8.1,76.9
17.1,79.5,21.7,20.9,27.5,4.5,79
20.7,81.5,28.8,23.9,29.8,9.6,77.1
23.8,81.5,33.1,NA,27.7,10.9,76.1
19.9,82.5,22.5,23.5,27.7,6.7,77.2
19.7,NA,24.1,NA,12.2,10.7,77.4
19.1,NA,26.6,NA,24.9,4.6,77.4
21.3,77,23.7,24,23.2,6.9,77.6
24.6,82,23.8,22.8,28.2,9,77.2
28.9,87.3,30.5,NA,NA,11.1,77.1
NA,NA,NA,NA,NA,3.2,76.4
20,NA,21.5,22,27.4,4.4,77.6
20,76.7,26.5,30.1,24.1,9.3,76.5
18.7,74.3,20.8,23.6,17.9,6,77.5
11.3,NA,13.9,NA,NA,4.4,76.8
28.3,78.9,31.9,NA,33.1,8.4,77
19.1,78.6,21.5,23.9,21.8,6.6,78
NA,NA,NA,NA,NA,NA,77.4
NA,NA,NA,NA,NA,9.9,74.6
25.1,77.7,24.6,18.3,28.8,7.2,77
15.5,NA,18.1,NA,13.3,12.6,80.2
NA,NA,NA,NA,NA,NA,76.9
25.7,78.8,26.1,30,20.8,9,77.3
16.9,77.8,21.3,15.8,20.5,6,78.1
NA,NA,NA,NA,NA,NA,76.6
NA,NA,NA,NA,NA,11,76.6
23.3,79.9,23.3,26.4,24.7,7.1,77.4
25.7,78.3,19.9,NA,22.7,6.2,77.6
NA,NA,NA,NA,NA,NA,76.9
NA,NA,NA,NA,NA,5.9,80.3
12.9,72.2,23.5,23,15.7,3.3,81.1
14.9,NA,NA,NA,15.4,4.7,80.3
NA,NA,NA,NA,NA,NA,76.8
14.1,70,21.9,21.4,14.6,3.5,80.7
23.9,85.9,23.5,31.4,19.8,5.5,78.9
19,NA,NA,20.4,20.3,5.4,78.3
24.7,NA,25.6,NA,25.8,9.5,77.7
NA,NA,NA,NA,NA,8.2,80.3
24.7,NA,33.2,NA,26,8.6,78
NA,NA,NA,NA,NA,NA,78.7
12.7,NA,NA,NA,12.7,8,79.4
